id,outlet_name,restaurant_name
5c98ce766197d625d0ef4128,Absolute Sizzlers,Absolute Sizzlers
5c98ce766197d625d0ef41d4,Fishland By Swagath Grand,Fishland By Swagath Grand
5c98ce766197d625d0ef42b4,Sohail Waves Restaurant,Sohail Waves Restaurant
5c98ce766197d625d0ef4335,The Biryani Junction,The Biryani Junction
5c98ce766197d625d0ef435e,Bonsai,Bonsai
5c98ce776197d625d0ef43b0,Autumn Leaf Cafe,Autumn Leaf Cafe
5c98ce776197d625d0ef4431,Pot Pourri,Pot Pourri
5c98ce776197d625d0ef44bf,Kritunga Restaurant,Kritunga Restaurant
5c98ce776197d625d0ef452a,Kritunga Restaurant,Kritunga Restaurant
5c98ce776197d625d0ef45c0,Shehzade Restaurant,Shehzade Restaurant
5c98ce776197d625d0ef4681,Jonathan's Kitchen - Holiday Inn Express & Suites,Jonathan's Kitchen - Holiday Inn Express & Suites
5c98ce776197d625d0ef4753,President Dhaba,President Dhaba
5c98ce776197d625d0ef47bd,Golden Crown Hotel,Golden Crown Hotel
5c98ce776197d625d0ef47ce,Natural Ice Cream,Natural Ice Cream
5c98ce776197d625d0ef480a,Olive Bistro,Olive Bistro
5c98ce786197d625d0ef487d,Thinespo,Thinespo
5c98ce786197d625d0ef48f8,SVM Grand,SVM Grand
5c98ce786197d625d0ef49f4,Angaara 5,Angaara 5
5c98ce786197d625d0ef49f6,Pakwaan Grand,Pakwaan Grand
5c98ce786197d625d0ef4ab7,Angaara Kababs on Charcoal,Angaara Kababs on Charcoal
5c98ce786197d625d0ef4ae9,KFC,KFC
5c98ce786197d625d0ef4bbe,Sree Dwaraka Grand,Sree Dwaraka Grand
5c98ce786197d625d0ef4bdb,Aritaaku Bhojanam,Aritaaku Bhojanam
5c98ce786197d625d0ef4c2a,Roti Wala,Roti Wala
5c98ce786197d625d0ef4c4a,CIBO house,CIBO house
5c98ce786197d625d0ef4c75,Pizza Hut,Pizza Hut
5c98ce786197d625d0ef4cc5,Taco Bell,Taco Bell
5c98ce796197d625d0ef4d82,MRCB,MRCB
5c98ce796197d625d0ef4e40,Bikanervala,Bikanervala
5c98ce796197d625d0ef4e91,Amul,Amul
5c98ce796197d625d0ef4ebe,Amul,Amul
5c98ce796197d625d0ef4f97,By The Bay,By The Bay
5c98ce796197d625d0ef4ff9,Mainland China,Mainland China
5c98ce796197d625d0ef50f7,Spicy Hub,Spicy Hub
5c98ce796197d625d0ef51d1,The Hole in The Wall Cafe,The Hole in The Wall Cafe
5c98ce796197d625d0ef51d3,Siddique Kabab Centre,Siddique Kabab Centre
5c98ce796197d625d0ef5210,Blue Nile 2 Dining & Takeaway,Blue Nile 2 Dining & Takeaway
5c98ce796197d625d0ef528a,Headquarters,Headquarters
5c98ce796197d625d0ef5314,Grill n Fire,Grill n Fire
5c98ce7a6197d625d0ef53a3,Tatva,Tatva
5c98ce7a6197d625d0ef5426,Mamagoto,Mamagoto
5c98ce7a6197d625d0ef5442,Rajdhani Thali Restaurant,Rajdhani Thali Restaurant
5c98ce7a6197d625d0ef5483,Sarkar's Kitchen,Sarkar's Kitchen
5c98ce7a6197d625d0ef54cd,India Bistro,India Bistro
5c98ce7a6197d625d0ef5524,Glocal Junction,Glocal Junction
5c98ce7a6197d625d0ef5575,Greenland Restaurant,Greenland Restaurant
5c98ce7a6197d625d0ef5594,Athidi Biryani & Curry Point,Athidi Biryani & Curry Point
5c98ce7a6197d625d0ef561d,Beach House,Beach House
5c98ce7a6197d625d0ef56aa,A-One Restaurant,A-One Restaurant
5c98ce7a6197d625d0ef585c,Hotel Nakshatra Grand,Hotel Nakshatra Grand
5c98ce7b6197d625d0ef594a,Pakka Local,Pakka Local
5c98ce7b6197d625d0ef59de,Golden Palace,Golden Palace
5c98ce7b6197d625d0ef5a28,Grand Paris,Grand Paris
5c98ce7b6197d625d0ef5a40,Chicken Shawarma Hub,Chicken Shawarma Hub
5c98ce7b6197d625d0ef5a78,13 Dhaba,13 Dhaba
5c98ce7b6197d625d0ef5ad7,Dusk 2 Dawn,Dusk 2 Dawn
5c98ce7b6197d625d0ef5af9,Mustang Terrace Lounge,Mustang Terrace Lounge
5c98ce7b6197d625d0ef5bbb,Biryani Zyone,Biryani Zyone
5c98ce7b6197d625d0ef5bfb,Shree Ganesh Darshini,Shree Ganesh Darshini
5c98ce7b6197d625d0ef5d10,Punjabi Affair,Punjabi Affair
5c98ce7b6197d625d0ef5d40,WOK Republic,WOK Republic
5c98ce7b6197d625d0ef5d42,TGI Fridays,TGI Fridays
5c98ce7c6197d625d0ef5db4,Sahib Sindh Sultan,Sahib Sindh Sultan
5c98ce7c6197d625d0ef5e5a,Coco's Bar & Grill,Coco's Bar & Grill
5c98ce7c6197d625d0ef5e76,Hotel Zara Hi-Fi,Hotel Zara Hi-Fi
5c98ce7c6197d625d0ef5e94,Amma Tiffins,Amma Tiffins
5c98ce7c6197d625d0ef5ebf,Chit Chat Chai,Chit Chat Chai
5c98ce7c6197d625d0ef5f1a,HyLife Brewing Company,HyLife Brewing Company
5c98ce7c6197d625d0ef5f75,HyLife Brewing Company,HyLife Brewing Company
5c98ce7c6197d625d0ef5fe4,Mustafa Biryani House,Mustafa Biryani House
5c98ce7c6197d625d0ef6075,Pakwaan,Pakwaan
5c98ce7c6197d625d0ef60e7,Vivaha Bhojanambu,Vivaha Bhojanambu
5c98ce7c6197d625d0ef61de,Tabla,Tabla
5c98ce7c6197d625d0ef61f7,New Meghna's Spicy Foods,New Meghna's Spicy Foods
5c98ce7d6197d625d0ef62a5,Biryanis And More,Biryanis And More
5c98ce7d6197d625d0ef63b0,Cannoli Cafe,Cannoli Cafe
5c98ce7d6197d625d0ef6440,Pakwaan Again,Pakwaan Again
5c98ce7d6197d625d0ef64c1,Sahara Bakers,Sahara Bakers
5c98ce7d6197d625d0ef6506,NorFest - The Dhaba,NorFest - The Dhaba
5c98ce7d6197d625d0ef6635,Rotis,Rotis
5c98ce7d6197d625d0ef6651,Famous Ice Creams,Famous Ice Creams
5c98ce7d6197d625d0ef66b1,Olive Mithai Shop,Olive Mithai Shop
5c98ce7d6197d625d0ef6711,Olive Mithai Shop,Olive Mithai Shop
5c98ce7d6197d625d0ef6799,Dildaar,Dildaar
5c98ce7e6197d625d0ef67db,Corner Bakers,Corner Bakers
5c98ce7e6197d625d0ef6855,Corner Bakers,Corner Bakers
5c98ce7e6197d625d0ef693f,Saffron Mantra,Saffron Mantra
5c98ce7e6197d625d0ef69d7,9 Bawarchi Restaurant,9 Bawarchi Restaurant
5c98ce7e6197d625d0ef6ab6,Moghul's Paradiez Biryani House,Moghul's Paradiez Biryani House
5c98ce7e6197d625d0ef6b1b,China Bistro,China Bistro
