Restaurant_name
Aura Cafe
Bawarchi
Onesta
Shah Ghouse Hotel & Restaurant
By The Bottle
Captain Cook
Peiskos
Indian Foodies Hub
Sahib’s Barbeque by Ohri’s
Green Bawarchi Restaurant
Coffee Cup
Lucky Restaurant
Mehfil
Marsala Food Company
Paradise
The Fisherman's Wharf
Sagar Restaurant
SodaBottleOpenerWala
84 Anjuna Shack
eat.fit
Kodi Kura Chitti Gaare
Chili's American Grill & Bar
Zaki's Bawarchi
Bakasura Restaurant
Amma Food Court
Spicy Restaurant
Cafe 555
Imperial Multi Cuisine Restaurant
Capital Multi Cuisine Restaurant
Grand Bavarchi
Huber & Holly
4M Biryani House
Fusion 9
Madhapur Bawarchi
Al - Arabian Mandi & Restaurant KPS
New Green Bawarchi Restaurant
Mandi@36
Raja Rani Ruchulu
Burger King
Bawarchi Mughal Restaurant
Grill 9
Shah Ghouse Spl Shawarma
Bahar Biryani Cafe
Azam Hotel
Hotel Rumaan
Grand Hotel
Thaalimpu
Dhaba Estd 1986 Delhi
Hyderabadi Daawat
Universal Kebabs & Biryani
Akshara Restaurant
Van Lavino
Krupa Mess & Tiffins
Sri Sampoorna Hotel
Karma - Lounge • Bar
Mujtaba Grills
My Friend's Circle Restaurant
Telangana Spice Kitchen
Hotel Tulips Grand
Swagath Grand
Pride of Hyderabad Restaurant
Sardarji's Chaats & More
King's Palace
Master Chef Restaurant
Cream Stone
B-Dubs
Jalpaan
Heart Cup Coffee
Hyderabad Zyqa Restaurant
Cheeky Tummy Bakery & Food Court
Absolute Sizzlers
Fishland By Swagath Grand
Sohail Waves Restaurant
The Biryani Junction
Bonsai
Autumn Leaf Cafe
Pot Pourri
Kritunga Restaurant
Shehzade Restaurant
Jonathan's Kitchen - Holiday Inn Express & Suites
President Dhaba
Golden Crown Hotel
Natural Ice Cream
Olive Bistro
Thinespo
SVM Grand
Angaara 5
Pakwaan Grand
Angaara Kababs on Charcoal
KFC
Sree Dwaraka Grand
Aritaaku Bhojanam
Roti Wala
CIBO house
Pizza Hut
Taco Bell
MRCB
Bikanervala
Amul
By The Bay
Mainland China
Spicy Hub
The Hole in The Wall Cafe
Siddique Kabab Centre
Blue Nile 2 Dining & Takeaway
